RESPONDENT_ID,StartDate,EndDate,RecordedDate,Status,Progress,durationinseconds,Finished,IPAddress,ResponseId,LocationLatitude,LocationLongitude,Meta_Info_Browser,Meta_Info_Version,Meta_Info_Operating_System,Meta_Info_Resolution,DistributionChannel,UserLanguage,RelevantIDDuplicate,RelevantIDDuplicateScore,RelevantIDFraudScore,Q_RelevantIDLastStartDate,SC0,consent,pre_informed,pre_trust_1,pre_trust_2,pre_trust_3,pre_trust_4,pre_trust_5,pre_trust_6,pre_learning_1,pre_learning_2,pre_risk_1,pre_risk_2,Media_use_1,Media_use_2,Media_use_3,Media_use_4,Media_use_5,Media_use_6,Media_use_7,Film_Clip_Instructio,source_blkwo_bright_1,source_blkwo_bright_2,source_blkwo_bright_3,source_blkwo_bright_4,source_blkwo_bright_5,source_blkwo_bright_6,view_blkwo_bright_1,view_blkwo_bright_2,view_blkwo_bright_3,source_blkwo_stancil_1,source_blkwo_stancil_2,source_blkwo_stancil_3,source_blkwo_stancil_4,source_blkwo_stancil_5,source_blkwo_stancil_6,view_blkwo_stancil_1,view_blkwo_stancil_2,view_blkwo_stancil_3,source_blkman_lyles_1,source_blkman_lyles_2,source_blkman_lyles_3,source_blkman_lyles_4,source_blkman_lyles_5,source_blkman_lyles_6,view_blkman_lyles_1,view_blkman_lyles_2,view_blkman_lyles_3,source_blkma_pyr_1,source_blkma_pyr_2,source_blkma_pyr_3,source_blkma_pyr_4,source_blkma_pyr_5,source_blkma_pyr_6,view_blkma_pyronneau_1,view_blkma_pyronneau_2,view_blkma_pyronneau_3,source_whtwo_Behrman_1,source_whtwo_Behrman_2,source_whtwo_Behrman_3,source_whtwo_Behrman_4,source_whtwo_Behrman_5,source_whtwo_Behrman_6,view_whtwo_behrman_1,view_whtwo_behrman_2,view_whtwo_behrman_3,source_whtwo_gallagh_1,source_whtwo_gallagh_2,source_whtwo_gallagh_3,source_whtwo_gallagh_4,source_whtwo_gallagh_5,source_whtwo_gallagh_6,view_whtwo_gallagher_1,view_whtwo_gallagher_2,view_whtwo_gallagher_3,source_whtman_gansky_1,source_whtman_gansky_2,source_whtman_gansky_3,source_whtman_gansky_4,source_whtman_gansky_5,source_whtman_gansky_6,view_whtman_gansky_1,view_whtman_gansky_2,view_whtman_gansky_3,source_whtman_keatin_1,source_whtman_keatin_2,source_whtman_keatin_3,source_whtman_keatin_4,source_whtman_keatin_5,source_whtman_keatin_6,view_whtman_keating_1,view_whtman_keating_2,view_whtman_keating_3,transport_david_1,transport_david_2,transport_david_3,identification_david_1,identification_david_2,identification_david_3,identification_david_4,identification_david_5,post_knowledge_david_1,post_knowledge_david_2,post_knowledge_david_3,transport_ruthie_1,transport_ruthie_2,transport_ruthie_3,identification_ruthie_1,identification_ruthie_2,identification_ruthie_3,identification_ruthie_4,identification_ruthie_5,post_knowledge_ruthie_1,post_knowledge_ruthie_2,post_knowledge_ruthie_3,post_interested,post_questions,post_interest_1,post_interest_2,post_interest_3,post_risk_1,post_risk_2,race_film_1,race_film_2,race_film_3,race_film_4,moralgrand_prestige_1,moralgrand_prestige_2,moralgrand_prestige_3,moralgrand_prestige_4,needtobelong_1,needtobelong_2,needtobelong_3,needtobelong_4,needtobelong_5,Racial_Thermometer_1,Racial_Thermometer_2,Racial_Thermometer_3,Racial_Thermometer_4,Racial_Thermometer_5,Racial_Thermometer_6,Racial_Thermometer_7,Racial_Thermometer_8,Racial_Thermometer_9,Racial_Thermometer_10,science_major,science_experience_1,science_experience_2,science_experience_3,science_experience_4,science_experience_99,science_experience_2_TEXT,science_experience_4_TEXT,born_again,recall,open_ended_TEXT,gender,age,zip,region,ethnicity,hispanic,children,division,education,employment,familial_origin,home,income,licensed_driver,marital,military_status,msa,neighborhood,political_ideology,political_party_preference,religiosity,religious_identity,sexual_orientation,state,voter_registration_usa,BLKWO_Bright_Ruthie_Science,BLKWO_Bright_Ruthie_Culture,BLKWO_Bright_David_Science,BLKWO_Bright_David_Culture,BLKWO_Stancil_Ruthie_Culture,BLKWO_Stancil_David_Science,BLKWO_Stancil_David_Culture,BLKWO_Stancil_Ruthie_Science,BLKMAN_Lyles_Ruthie_Science,BLKMAN_Lyles_Ruthie_Culture,BLKMAN_Lyles_David_Science,BLKMAN_Lyles_David_Culture,BLKMAN_Pyronneau_David_Science,BLKMAN_PYRONNEAU_Ruthie_Culture,BLKMAN_PYRONNEAU_Ruthie_Science,BLKMAN_PYRONNEAU_David_Culture,WHTMAN_Keating_David_Culture,WHTMAN_Keating_Ruthie_Culture,WHTMAN_Keating_Ruthie_Science,WHTMAN_Keating_David_Science,WHTMAN_Gansky_Ruthie_Science,WHTMAN_Gansky_Ruthie_Culture,WHTMAN_Gansky_David_Culture,WHTMAN_Gansky_David_Science,WHTWO_Gallagher_Ruthie_Science,WHTWO_Gallagher_Ruthie_Culture,WHTWO_Gallagher_David_Science,WHTWO_Gallagher_David_Culture,WHTWO_Behrman_David_Culture,WHTWO_Behrman_Ruthie_Science,WHTWO_Behrman_Ruthie_Culture,WHTWO_Behrman_David_Science,Zdurationinseconds,duration_exclude,media_use,pre_learning,pre_riskbenefit,trust_all,source_blkwo_bright_warm,source_blkwo_bright_expert,view_blkwo_bright,source_blkwo_stancil_warm,source_blkwo_stancil_expert,view_blkwo_stancil,source_blkman_lyles_warm,source_blkman_lyles_expert,view_blkman_lyles,source_blkman_pyr_warm,source_blkman_pyr_expert,view_blkman_pyr,source_whtwo_beh_warm,source_whtwo_beh_expert,view_whtwo_beh,source_whtwo_gal_warm,source_whtwo_gal_expert,view_whtwo_gal,source_whtman_gansky_warm,source_whtman_gansky_expert,view_whtman_gansk,source_whtman_keat_warm,source_whtman_keat_expert,view_whtman_keat,transport_david,identification_david,transport_ruthie,identification_ruthie,post_interest_all,post_riskbenefit,race_film_all,moral_all,need_all,postknowledge_david_1_scored,postknowledge_david_2_scored,postknowledge_david_3_scored,david_knowledge_score,postknowledge_ruthie_1_scored,postknowledge_ruthie_2_scored,postknowledge_ruthie_3_scored,ruthie_knowledge_score,nonmale,female,ethnicity_white,ethnicity_black,poli3,science_experience_score,condition,alb,sci_gend_f,sci_race_blk,intro_sci,warm,expert,Zruthie_knowledge_score,Zdavid_knowledge_score,knowledge
iP1a8f327567346592,12/24/2022 8:14:43,12/24/2022 8:39:48,12/24/2022 8:39:48,0,100,1504,1,142.197.148.153,R_2f3UTq1eTsVVBxx,28.3056,-81.4197,Chrome,108.0.0.0,Windows NT 10.0,1366x768,anonymous,EN, ,0,0,10/14/1582 0:00:00,50,1,2,4,4,3,3,2,1,7,7,7,5,2,3,1,3,2,1,3,4,6,4,6,5,5,6,7,7,7, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,4,6,4,5,5,4,6,5,2,-2,1,2,2,5,4,4,7,7,6,7,7,7,6,7,6,6,5,5,3,2,4,100,100,0,100,40,100,100,100,0,20,2, , , , ,1,-99,-99,1,3,-99,1,81,57064,2,1,2,2,4,2,3,3,2,4,1,3,3,7760,3,7,7,7,1,1,SD,1,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,-.121315336103207,1,2.14285714285714,7,6,2.83333333333333,5.33333333333333,5.33333333333333,7,5.33333333333333,5.33333333333333,7, , , , , , , , , , , , , , , , , , , , ,4.66666666666667,5,4.33333333333333,7,6.75,6.25,3.8, , , , ,1,0,1,2,0,0,1,0,3, ,1,1,1,1,1,5.33333333333333,5.33333333333333,-.667059981365215, ,-.667059981365215
iP1ab13d44b065c20f,12/26/2022 20:34:08,12/26/2022 20:54:44,12/26/2022 20:54:45,0,100,1235,1,173.77.44.93,R_2EbNUOcph0qEGJT,40.6739,-73.9358,Chrome,108.0.0.0,Android 12,385x854,anonymous,EN,true,100,0,12/27/2022 3:28:44,44,1,2,2,1,3,2,3,2,4,6,6,7,1,1,1,1,5,1,2,4, , , , , , , , , ,6,6,6,6,6,5,2,6,7, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,5,5,4,6,7,6,6,6,2,1,1,2,2,5,6,6,6,7,7,7,7,7,7,6,4,6,5,2,1,1,1,100,10,30,40,70,60,100,60,100,70,0,1, , , , ,-99,-99,0,2,-99,2,44,11212,1,2,2,2,2,2,2,98,1,1,2,1,1,5602,1,4,2,4,99,1,NY,1, , , , ,1, , , , , , , , , , , , , , , , , , , , , , , , , , , ,-.189518700547182,1,1.71428571428571,5,6.5,2.16666666666667, , , , , , , , , , , , , , , , , , , , , , , , , , ,4.66666666666667,6.2,5.66666666666667,6.5,7,5.75,2, , , , ,1,1,1,3,1,1,0,1,2,1,8,1,1,1,0,0,0,.578654441666222, ,.578654441666222
iP1ad0b111c262eed1,12/19/2022 15:15:02,12/19/2022 15:41:31,12/19/2022 15:41:31,0,100,1588,1,45.56.198.216,R_23fVQKYKmuo63mG,37.751,-97.822,Safari iPhone,15.6.3,iPhone,320x568,anonymous,EN, ,0,75,10/14/1582 0:00:00,49,1,2,3,2,3,3,2,2,7,7,6,6,2,4,3,2,3,1,3,4, , , , , , , , , , , , , , , , , , , , , , , , , , , ,4,6,6,5,5,5,4,6,6, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,3,4,2,5,5,3,5,4,1,2,-1, , , , , , , , , , , ,4,3,5,4,2,5,5,4,4,3,4,4,5,2,6,3,3,2,1,2,60,60,40,80,50,80,80,50,40,70,0,1, , , , ,-99,-99,0,4,It’s sad that your researchers had to inject race into a scientific discussion.,1,61,44107,2,1,2,2,3,5,7,9,4,3,1,4,3,1692,2,5,6,6,2,1,OH,1, , , , , , , , , , , , , , , ,1, , , , , , , , , , , , , , , , ,-.100017631221074,1,2.57142857142857,7,6,2.5, , , , , , , , , ,5.33333333333333,5,5.33333333333333, , , , , , , , , , , , ,3,4.4, , ,3.66666666666667,5,3.75,4.25,2.2,1,1,1,3, , , , ,0,0,1,0,3,1,15,0,0,1,0,5.33333333333333,5, ,.820640847587717,.820640847587717
iP1b07dceb3099821f,12/22/2022 20:00:04,12/22/2022 20:21:45,12/22/2022 20:21:45,0,100,1300,1,71.86.194.140,R_233Pdj6yDWP5aUN,44.0304,-88.607,Chrome,108.0.0.0,Android 13,412x883,anonymous,EN, ,0,0,10/14/1582 0:00:00,40,1,1,2,2,2,2,1,2,7,7,4,3,3,2,1,1,1,2,2,4, , , , , , , , , , , , , , , , , , ,4,4,4,4,4,4,4,5,4, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,5,4,4,6,6,7,7,5,1,1,1,4,3,3,4,4,2,2,7,7,4,4,4,4,5,6,1,2,1,1,3,50,50,50,50,70,40,50,100,50,0,1, , , ,1, ,-99,In home health,0,1,"I do not feel it is right to add or subtract a person's personality, or any kind of gene changing choices. A person is born to be the very beautiful person that they were meant to be.",2,50,54935,2,1,2,1,3,4,4,4,3,2,1,4,1, ,2,4,4,4,98,1,WI,1, , , , , , , , ,1, , , , , , , , , , , , , , , , , , , , , , , ,-.173038333674103,1,1.71428571428571,7,3.5,1.83333333333333, , , , , , ,4,4,4.33333333333333, , , , , , , , , , , , , , , , , ,4.33333333333333,6.2,3.66666666666667,2,5.5,4.75,1.6, , , , ,1,1,1,3,1,1,1,0,2,1,9,1,0,1,1,4,4,.578654441666222, ,.578654441666222
iP1b230431fb4836a8,12/23/2022 15:33:02,12/23/2022 15:47:45,12/23/2022 15:47:46,0,100,882,1,67.161.105.218,R_ZlxNs8Drbi4d5Dz,45.5135,-122.5041,Chrome,108.0.0.0,Android 12,393x808,anonymous,EN, ,0,0,10/14/1582 0:00:00,50,1,1,3,3,3,3,1,3,3,5,2,4,4,4,3,4,2,3,4,4, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,2,1,5,4,4,5,3,4, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,5,5,5,4,6,5,5,5,1,1,1,3,4,4,5,4,4,5,3,4,3,4,5,5,5,4,3,3,3,3,4,80,10,80,70,80,10,80,90,80,20,0,1, , , , ,-99,-99,0,8,-99,1,26,97233,4,1,2,2,9,3,2,4,8,2,2,2,1,6442,1,3,4,1,99,1,OR,99, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, ,-.27901976987329,1,3.42857142857143,4,3,2.66666666666667, , , , , , , , , , , , ,1.33333333333333,4.33333333333333,4, , , , , , , , , , , ,5,5,4.33333333333333,4.5,3.5,4.75,3.2, , , , ,1,1,1,3,0,0,1,0,1,1,19,1,1,0,0,1.33333333333333,4.33333333333333,.578654441666222, ,.578654441666222
iP1b953f95e31699f5,12/22/2022 22:24:19,12/22/2022 22:44:01,12/22/2022 22:44:01,0,100,1181,1,76.136.81.238,R_1OV7lrmzAr1t4uE,41.7892,-88.262,Chrome,108.0.0.0,Android 13,384x854,anonymous,EN, ,0,0,10/14/1582 0:00:00,48,1,2,1,1,1,1,1,1,5,6,4,5,1,2,1,2,2,3,3,4, , , , , , , , , , , , , , , , , , ,3,3,3,3,3,3,5,4,4, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,4,5,5,5,6,5,5,5,99,1,99,2,1,3,3,3,4,5,4,5,5,5,4,4,4,5,3,2,1,1,1,100,70,60,60,60,70,100,70,80,40,0,1, , , ,1,-99,-99,0,1,-99,1,52,60540,2,2,2,1,3,3,1,8,3,4,1,4,1,1602,2,4,2,4,1,1,IL,1, , , , , , , , , ,1, , , , , , , , , , , , , , , , , , , , , , ,-.203210082257125,1,2,5.5,4.5,1, , , , , , ,3,3,4.33333333333333, , , , , , , , , , , , , , , , , ,4.66666666666667,5.2,3,4.5,4.75,4.25,1.6, , , , ,0,1,0,1,0,0,0,1,2,1,10,1,0,1,0,3,3,-1.91277440439665, ,-1.91277440439665
iP1bdbf9d3062aea81,12/21/2022 10:36:42,12/21/2022 10:53:53,12/21/2022 10:53:54,0,100,1031,1,45.31.7.250,R_XiH8sar5v7I5Hsl,32.754,-97.1363,Chrome,108.0.0.0,Macintosh,1920x1080,anonymous,EN, ,0,0,10/14/1582 0:00:00,44,1,2,4,2,4,4,3,4,6,5,6,6,1,1,1,2,2,2,3,4, , , , , , , , , , , , , , , , , , , , , , , , , , , ,5,4,4,5,5,5,4,6,6, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,4,6,4,5,6,5,6,5,1,2,2,3,2,6,4,2,4,7,6,4,4,5,4,4,4,4,2,3,3,2,2,70,70,80,20,60,50,80,70,50,10,1,1,1, , , ,Microbiology,-99,0,4,-99,1,65,76013,3,1,2,2,7,6,3,3,4,4,1,3,1,1922,2,4,3,5,2,1,TX,1, , , , , , , , , , , , , ,1, , , , , , , , , , , , , , , , , , ,-.241241698118077,1,1.71428571428571,5.5,6,3.5, , , , , , , , , ,4.33333333333333,5,5.33333333333333, , , , , , , , , , , , , , ,4.66666666666667,5.4,4,5.5,4.75,4,2.4, , , , ,1,1,1,3,0,0,1,0,2,2,11,1,0,1,0,4.33333333333333,5,.578654441666222, ,.578654441666222
iP1bdf20d46b4b0b3e,12/23/2022 22:56:55,12/24/2022 2:41:15,12/24/2022 2:41:16,0,100,13460,1,50.89.183.40,R_2dyDm1qpzuOse99,28.2733,-81.1999,Safari iPhone,16.1,iPhone,414x736,anonymous,EN, ,0,5,10/14/1582 0:00:00,29,1,2,3,3,5,1,1,1,4,5,4,6,1,2,1,1,1,2,1,4, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,3,3,3,3,3,3,4,4,4, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,2,2,50,50,50,50,50,50,50,50,50,50,0, , , , ,1,-99,-99,0,7,-99,2,29,33067,3,2,2,2,5,3,5,4,7,9,1,1,1,4992,2,4,3,1,10,1,FL,1, , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, , , , ,2.91005799212044,1,1.28571428571429,4.5,5,2.33333333333333, , , , , , , , , , , , , , , ,3,3,4, , , , , , , , , , ,4,4,4,4,2.6, , , , , , , , ,1,1,0,1,2, ,22,0,1,0,0,3,3, , , 
iP1c077e4e4dd300dc,12/21/2022 15:10:44,12/21/2022 15:30:12,12/21/2022 15:30:12,0,100,1168,1,130.85.59.152,R_3RpX01ltb3WBesG,39.26,-76.7125,Chrome,107.0.0.0,Android 11,360x720,anonymous,EN, ,0,0,10/14/1582 0:00:00,56,1,2,4,4,4,3,3,2,7,7,6,6,3,4,2,2,3,4,3,4, , , , , , , , , ,4,4,4,4,4,4,4,4,4, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,5,5,5,6,7,5,5,5,1,2,2,4,4,5,6,5,4,6,5,6,5,6,6,5,6,6,4,5,4,3,4,80,80,60,60,80,80,80,80,80,80,1,1,1,1, , ,Biology,-99,1,2,Interesting,2,32,20707,3,2,2,2,5,6,2,8,7,99,1,1,1,8872,2,5,6,6,1,1,MD,1, , , , , , , ,1, , , , , , , , , , , , , , , , , , , , , , , , ,-.206506155631741,1,3,7,6,3.33333333333333, , , , , , , , , , , , , , , , , , , , , , , , , , ,5,5.6,5.33333333333333,5,5.5,5.75,4, , , , ,1,1,1,3,1,1,0,1,3,3,7,1,1,1,1,0,0,.578654441666222, ,.578654441666222
iP1c0ed34cd1264668,12/23/2022 14:38:26,12/23/2022 14:54:21,12/23/2022 14:54:21,0,100,954,1,107.77.236.99,R_3gMIyxfxrAoveFI,33.7485,-84.3871,Chrome,90.0.4430.210,Android 11,485x1076,anonymous,EN, ,0,0,10/14/1582 0:00:00,59,1,3,4,4,4,4,4,3,5,6,5,5,4,4,4,4,4,4,3,4, , , , , , , , , , , , , , , , , , ,5,5,5,5,5,5,7,7,7, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,7,7,7,7,7,7,7,7,1,2,2, , , , , , , , , , , ,4,1,7,7,7,7,7,7,7,7,7,7,7,7,7,4,4,4,3,3,80,30,70,90,90,70,90,90,60,80,0, , , , ,1,-99,-99,1,1,This video was very educating,1,37,39095,3,2,2,1,6,2,1,4,4,3,1,3,1, ,3,6,1,5,1,1,MS,1, , , , , , , , , , , ,1, , , , , , , , , , , , , , , , , , , , ,-.260764594260033,1,3.85714285714286,5.5,5,3.83333333333333, , , , , , ,5,5,7, , , , , , , , , , , , , , , ,7,7, , ,7,7,7,7,3.6,1,1,0,2, , , , ,0,0,0,1,3, ,14,0,0,1,0,5,5, ,-.39435464854896,-.39435464854896
iP1c100449f56fb907,12/23/2022 14:52:28,12/23/2022 15:10:57,12/23/2022 15:10:58,0,100,1109,1,199.102.215.73,R_1C2C8WFlwsG5TAz,43.2905,-92.8213,Chrome,108.0.0.0,Windows NT 6.1,1920x1080,anonymous,EN, ,0,5,10/14/1582 0:00:00,37,1,3,1,1,2,2,3,2,5,5,3,3,2,2,2,5,1,1,2,4, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,3,0,2,4,1,5,6,3, , , , , , , , , ,3,1,2,1,4,1,6,5,1,1,1, , , , , , , , , , , ,3,2,4,4,5,3,3,2,3,4,5,4,4,4,5,2,3,2,1,2,50,50,20,50,10,70,10,50,50,50,0, , , , ,1,-99,-99,0,5,I don't agree with it,1,53,55904,2,1,2,2,4,6,1,4,3,8,1,1,1,6820,1,4,98,1,99,1,MN,1, , , , , , , , , , , , , , , , , , , , , , , ,1, , , , , , , , ,-.221465257870382,1,2.14285714285714,5,3,1.83333333333333, , , , , , , , , , , , , , , , , , ,1.33333333333333,2.33333333333333,4.66666666666667, , , ,2,3.4, , ,4.33333333333333,3,3.5,4.25,2,1,1,0,2, , , , ,0,0,1,0,2, ,31,0,0,0,1,1.33333333333333,2.33333333333333, ,-.39435464854896,-.39435464854896
iP1c8c09798ac5d04c,12/22/2022 15:21:35,12/22/2022 15:38:59,12/22/2022 15:39:00,0,100,1044,1,71.8.57.148,R_1nNHGZQafXD41z1,33.8276,-87.0119,Chrome,108.0.0.0,Android 11,360x780,anonymous,EN, ,0,0,10/14/1582 0:00:00,57,1,1,1,2,3,1,3,2,4,6,3,4,5,1,3,3,5,4,3,4,4,4,4,4,4,4,4,4,4, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,5,5,5,5,5,5,5,5,2,2,99,3,3,5,5,5,6,6,6,6,6,6,6,6,6,6,3,3,3,3,3,60,60,60,60,60,60,60,60,60,60,2,1, , , , ,-99,-99,1,3,Very informative,2,59,35063,3,1,2,2,6,4,4,5,4,2,1,3,1, ,3,6,7,7,98,1,AL,2,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,-.237945624743462,1,3.42857142857143,5,3.5,2,4,4,4,4,4,4, , , , , , , , , , , , , , , , , , , , ,5,5,5,6,6,6,3, , , , ,1,1,0,2,1,1,1,0,3,1,1,1,1,1,1,4,4,-.667059981365215, ,-.667059981365215
iP1c9ab0ebb97a6ad0,12/24/2022 4:40:13,12/24/2022 5:05:36,12/24/2022 5:05:36,0,100,1522,1,136.32.34.131,R_2wKBaZOVjpcn22f,39.1472,-94.7874,Chrome,108.0.0.0,Windows NT 10.0,1366x768,anonymous,EN, ,0,0,10/14/1582 0:00:00,61,1,2,2,2,2,2,1,2,7,7,4,7,4,4,4,4,5,3,4,4, , , , , , , , , , , , , , , , , , ,6,5,6,6,6,6,6,7,7, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,7,7,7,7,7,7,7,7,1,1,1, , , , , , , , , , , ,5,4,7,7,7,5,6,7,7,7,7,7,7,7,7,4,4,4,3,4,50,50,70,30,70,50,60,40,90,40,0,1, , , , ,-99,-99,0,1,"TREMENDOUS SHORT FILM. This was an absolutely amazing short documentary. Anyone and everyone who was involved in the making of this film should be proud. I was drawn into this film at once. The professionalism, authenticity, and commitment of the medical personnel in the film was noticed immediately. And then ... we have David. What an amazing human being! Thank you for sharing his story and experience with sickle cell anemia. The world is a better place with this short film and the people in it.",2,47,66104,2,1,2,2,4,7,2,3;4,3,1,1,3,1,3760,1,2,98,1,99,1,KS,1, , , , , , , , , , , ,1, , , , , , , , , , , , , , , , , , , , ,-.116751542199893,1,4,7,5.5,1.83333333333333, , , , , , ,5.66666666666667,6,6.66666666666667, , , , , , , , , , , , , , , ,7,7, , ,7,5.5,7,7,3.8,1,1,0,2, , , , ,1,1,1,0,1,1,14,0,0,1,0,5.66666666666667,6, ,-.39435464854896,-.39435464854896
iP1c9e51602a0566e8,12/22/2022 19:02:13,12/22/2022 19:18:44,12/22/2022 19:18:44,0,100,990,1,73.19.249.116,R_Zqp3IVwukwTLr4B,36.6542,-80.9077,Chrome,108.0.0.0,Android 11,360x780,anonymous,EN,true,100,0,12/23/2022 1:55:48,49,1,2,3,3,4,3,2,3,5,6,4,6,3,2,1,2,4,4,3,4, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,6,6,4,5,5,0,5,7,6, , , , , , , , , , , , , , , , , , , , , , , , , , , ,5,7,6,6,6,5,7,3,1,2,-2, , , , , , , , , , , ,4,5,5,6,5,5,7,6,6,7,7,5,5,3,7,2,2,2,1,5,100,70,100,30,90,30,100,70,90,60,0,1, , , , ,-99,-99,1,8,This is interesting.,2,39,24333,3,1;2,2,1,5,3,7,4,7,2,2,4,1, ,3,2,1,5,1,3,VA,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,-.251637006453404,1,2.71428571428571,5.5,5,3, , , , , , , , , , , , ,5.33333333333333,3.33333333333333,6, , , , , , , , , ,6,5.4, , ,5.33333333333333,6,6.5,5,2.4,1,1,1,3, , , , ,1,1, , ,1,1,24,0,1,0,1,5.33333333333333,3.33333333333333, ,.820640847587717,.820640847587717
iP1cfbefa0de97fe68,12/22/2022 19:38:01,12/22/2022 20:06:03,12/22/2022 20:06:04,0,100,1682,1,174.235.50.19,R_1j8iTIb4gMC0zg0,34.0021,-81.0423,Safari iPhone,13.0.1,iPhone,320x568,anonymous,EN, ,0,0,10/14/1582 0:00:00,63,1,3,3,3,2,3,3,3,7,6,4,5,4,4,3,4,5,4,3,4, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,5,4,5,5,6,5,7,7,6, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,7,6,5,6,7,7,7,4,2,2,2,4,4,7,7,6,5,6,7,6,7,6,6,5,6,6,3,3,3,1,3,50,70,50,50,70,50,50,70,50,50,1, , ,1, , ,-99,-99,1,8,I can understand both the parents and the child points of view. However this new development can be a blessing as well as a curse,2,63,28127,3,2,2,2,5,3,1,4,4,4,1,1,1, ,3,4,1,5,5,99,NC,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, , ,-.0761844852815437,1,3.85714285714286,6.5,4.5,2.83333333333333, , , , , , , , , , , , ,4.66666666666667,5.33333333333333,6.66666666666667, , , , , , , , , , , ,6,6.2,6.66666666666667,5.5,6.5,5.75,2.6, , , , ,1,1,1,3,1,1,0,1,2,1,20,1,1,0,1,4.66666666666667,5.33333333333333,.578654441666222, ,.578654441666222
iP1d1a5d1f89bbbd36,12/22/2022 20:35:56,12/22/2022 20:51:08,12/22/2022 20:51:08,0,100,911,1,24.231.213.93,R_1dvoN0ZBnJSmZ8c,43.4282,-83.9764,Chrome,108.0.0.0,Android 10,350x699,anonymous,EN, ,0,0,10/14/1582 0:00:00,41,1,2,3,3,3,3,1,1,5,6,5,5,3,1,1,1,3,1,3,4, , , , , , , , , , , , , , , , , , ,3,3,3,2,4,3,5,5,6, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,6,6,6,7,5,4,6,4,2,2,-1, , , , , , , , , , , ,3,5,6,6,5,5,5,7,7,7,6,7,7,6,7,3,3,2,2,3,80,80,20,50,40,80,100,50,50,20,0,1, , , , ,-99,-99,1,1,Fascinating to learn about sickle's effect with malaria.,2,47,48911,2,1,2,2,3,7,7,4,4,3,1,4,1,4040,1,4,5,3,99,1,MI,1, , , , , , , , , , ,1, , , , , , , , , , , , , , , , , , , , , ,-.271666990806839,1,1.85714285714286,5.5,5,2.33333333333333, , , , , , ,3,3,5.33333333333333, , , , , , , , , , , , , , , ,6,5.2, , ,5.66666666666667,5,6.75,6.75,2.6,1,1,1,3, , , , ,1,1,1,0,2,1,13,0,0,1,1,3,3, ,.820640847587717,.820640847587717
